repeat,split,num_feats,fold,accuracy,permutation,run
1,1,1,Train,0.7533333333333333,0,True
1,1,1,Test,0.7142857142857143,0,True
1,1,2,Train,0.8033333333333333,0,True
1,1,2,Test,0.5714285714285714,0,True
1,1,3,Train,0.8533333333333333,0,True
1,1,3,Test,0.7142857142857143,0,True
1,1,4,Train,0.8533333333333333,0,True
1,1,4,Test,0.7142857142857143,0,True
1,1,5,Train,0.8533333333333333,0,True
1,1,5,Test,0.7142857142857143,0,True
1,1,6,Train,0.8533333333333333,0,True
1,1,6,Test,0.7142857142857143,0,True
1,1,7,Train,0.8533333333333333,0,True
1,1,7,Test,0.5714285714285714,0,True
1,1,8,Train,0.8533333333333333,0,True
1,1,8,Test,0.5714285714285714,0,True
1,1,9,Train,0.8533333333333333,0,True
1,1,9,Test,0.5714285714285714,0,True
1,1,10,Train,0.8933333333333333,0,True
1,1,10,Test,0.7142857142857143,0,True
1,2,1,Train,0.7533333333333333,0,True
1,2,1,Test,0.8571428571428571,0,True
1,2,2,Train,0.8833333333333332,0,True
1,2,2,Test,0.7142857142857143,0,True
1,2,3,Train,0.8833333333333332,0,True
1,2,3,Test,0.7142857142857143,0,True
1,2,4,Train,0.8833333333333332,0,True
1,2,4,Test,0.7142857142857143,0,True
1,2,5,Train,0.8833333333333332,0,True
1,2,5,Test,0.7142857142857143,0,True
1,2,6,Train,0.8833333333333332,0,True
1,2,6,Test,0.7142857142857143,0,True
1,2,7,Train,0.8833333333333332,0,True
1,2,7,Test,0.8571428571428571,0,True
1,2,8,Train,0.8833333333333332,0,True
1,2,8,Test,0.8571428571428571,0,True
1,2,9,Train,0.8833333333333332,0,True
1,2,9,Test,0.8571428571428571,0,True
1,2,10,Train,0.8833333333333332,0,True
1,2,10,Test,0.8571428571428571,0,True
1,3,1,Train,0.78,0,True
1,3,1,Test,0.5714285714285714,0,True
1,3,2,Train,0.8133333333333332,0,True
1,3,2,Test,0.5714285714285714,0,True
1,3,3,Train,0.8533333333333333,0,True
