repeat,split,num_feats,fold,accuracy,permutation,run
1,1,1,Train,0.8800000000000001,0,True
1,1,1,Test,0.2857142857142857,0,True
1,1,2,Train,0.9199999999999999,0,True
1,1,2,Test,0.14285714285714285,0,True
1,1,3,Train,0.8533333333333333,0,True
1,1,3,Test,0.5714285714285714,0,True
1,1,4,Train,0.8800000000000001,0,True
1,1,4,Test,0.5714285714285714,0,True
1,1,5,Train,0.8800000000000001,0,True
1,1,5,Test,0.8571428571428571,0,True
1,1,6,Train,0.8800000000000001,0,True
1,1,6,Test,0.5714285714285714,0,True
1,1,7,Train,0.8133333333333332,0,True
1,1,7,Test,0.7142857142857143,0,True
1,1,8,Train,0.8533333333333333,0,True
1,1,8,Test,0.42857142857142855,0,True
1,1,9,Train,0.8533333333333333,0,True
1,1,9,Test,0.42857142857142855,0,True
1,1,10,Train,0.8533333333333333,0,True
1,1,10,Test,0.42857142857142855,0,True
1,2,1,Train,0.7233333333333334,0,True
1,2,1,Test,0.4,0,True
1,2,2,Train,0.8800000000000001,0,True
1,2,2,Test,0.4,0,True
1,2,3,Train,0.9199999999999999,0,True
1,2,3,Test,0.2,0,True
1,2,4,Train,0.8400000000000001,0,True
1,2,4,Test,0.4,0,True
1,2,5,Train,0.9199999999999999,0,True
1,2,5,Test,0.4,0,True
1,2,6,Train,0.8800000000000001,0,True
1,2,6,Test,0.6,0,True
1,2,7,Train,0.8800000000000001,0,True
1,2,7,Test,0.6,0,True
1,2,8,Train,0.9199999999999999,0,True
1,2,8,Test,0.6,0,True
1,2,9,Train,0.8,0,True
1,2,9,Test,0.6,0,True
1,2,10,Train,0.8800000000000001,0,True
1,2,10,Test,0.4,0,True
1,3,1,Train,0.79,0,True
1,3,1,Test,0.4,0,True
1,3,2,Train,0.75,0,True
1,3,2,Test,0.4,0,True
1,3,3,Train,0.8,0,True
1,3,3,Test,0.8,0,True
1,3,4,Train,0.8,0,True
1,3,4,Test,0.8,0,True
1,3,5,Train,0.79,0,True
1,3,5,Test,0.6,0,True
1,3,6,Train,0.8800000000000001,0,True
1,3,6,Test,0.6,0,True
1,3,7,Train,0.8400000000000001,0,True
1,3,7,Test,0.6,0,True
1,3,8,Train,0.8400000000000001,0,True
1,3,8,Test,0.6,0,True
1,3,9,Train,0.8400000000000001,0,True
1,3,9,Test,0.4,0,True
1,3,10,Train,0.79,0,True
1,3,10,Test,0.2,0,True
1,4,1,Train,0.79,0,True
1,4,1,Test,0.4,0,True
1,4,2,Train,0.8400000000000001,0,True
1,4,2,Test,0.4,0,True
1,4,3,Train,0.8400000000000001,0,True
1,4,3,Test,0.4,0,True
1,4,4,Train,0.8400000000000001,0,True
1,4,4,Test,0.8,0,True
1,4,5,Train,0.8800000000000001,0,True
1,4,5,Test,0.8,0,True
1,4,6,Train,0.9199999999999999,0,True
1,4,6,Test,0.8,0,True
1,4,7,Train,0.9199999999999999,0,True
1,4,7,Test,0.8,0,True
1,4,8,Train,0.8800000000000001,0,True
1,4,8,Test,0.6,0,True
1,4,9,Train,0.9199999999999999,0,True
1,4,9,Test,0.8,0,True
1,4,10,Train,0.9199999999999999,0,True
1,4,10,Test,0.6,0,True
1,5,1,Train,0.7233333333333334,0,True
1,5,1,Test,0.6,0,True
1,5,2,Train,0.8400000000000001,0,True
1,5,2,Test,0.6,0,True
1,5,3,Train,0.8800000000000001,0,True
1,5,3,Test,0.6,0,True
1,5,4,Train,0.8800000000000001,0,True
1,5,4,Test,0.6,0,True
1,5,5,Train,0.8800000000000001,0,True
1,5,5,Test,0.6,0,True
1,5,6,Train,0.8800000000000001,0,True
1,5,6,Test,0.6,0,True
1,5,7,Train,0.8400000000000001,0,True
1,5,7,Test,0.6,0,True
1,5,8,Train,0.8800000000000001,0,True
1,5,8,Test,0.6,0,True
1,5,9,Train,0.9099999999999999,0,True
1,5,9,Test,0.6,0,True
1,5,10,Train,0.8300000000000001,0,True
1,5,10,Test,0.6,0,True
2,6,1,Train,0.8300000000000001,0,True
2,6,1,Test,0.42857142857142855,0,True
2,6,2,Train,0.9199999999999999,0,True
2,6,2,Test,0.42857142857142855,0,True
